ID,FREQ,aones,hisnow,FRICTION,expose,cpm,intpm,gbrpm,lowpre,ny
101,11,1,0,46.5,0.112633525,4,4,6,0,0.078571429
102,23,1,0,46.5,0.099489729,3.9215686274509802,1.9607843137254901,0,0,0.164285714
103,36,1,0,51.5,0.33609908099999997,0,0.7194244604316548,2.1582733812949644,0,0.257142857
104,16,1,0,51.8,0.45941601,1.0526315789473684,1.0526315789473684,2.1052631578947367,0,0.114285714
105,42,1,0,50,0.5530999759999999,0.6756756756756757,0.33783783783783783,2.027027027027027,0,0.3
106,18,1,0,50.6,0.351773422,2.8213166144200628,0.31347962382445144,1.567398119122257,0,0.128571429
107,19,1,1,50.6,0.099199408,2.5974025974025974,1.2987012987012987,2.5974025974025974,0,0.135714286
108,0,1,0,60.5,0.024956838500000002,0,0,0,1,0
109,3,1,0,59,0.039419562,1.1904761904761905,0,1.1904761904761905,1,0.021428571
110,9,1,0,49.8,0.052913685,1.5151515151515151,0,3.0303030303030303,0,0.064285714
111,10,1,0,49.8,0.061275507,1.369863014,0,1.369863014,0,0.071428571
112,12,1,0,48,0.078916431,3.191489361702128,0,3.191489361702128,0,0.085714286
113,35,1,0,49.6,0.32706701000000005,1.1173184357541899,0,0.27932960893854747,0,0.25
114,12,1,0,51.3,0.152960258,0.4434589800443459,0,1.1086474501108647,1,0.085714286
116,4,1,0,44,0.044698775999999996,2.4193548387096775,0,0.8064516129032259,1,0.028571429
117,3,1,0,44,0.079196751,1.4492753623188408,0,0,1,0.021428571
118,4,1,0,47.3,0.10716181,1.1194029850746268,0.3731343283582089,1.8656716417910446,1,0.028571429
119,0,1,0,50.5,0.033324135,3.846153846153846,0,0,1,0
120,8,1,0,47,0.105526428,1.214574898785425,0,0.4048582995951417,1,0.057142857
121,5,1,0,46.3,0.043150483,0.9900990099009901,0,0.9900990099009901,1,0.035714286
122,6,1,0,44,0.02392502,1.7857142857142856,0,0,1,0.042857143
123,2,1,0,46.5,0.027072013500000002,1.639344262295082,0,0,1,0.014285714
124,2,1,0,61.5,0.045267957000000004,1.9607843137254901,0,2.941176470588235,1,0.014285714
125,13,1,0,61,0.17042054399999998,0.78125,0.5208333333333334,1.0416666666666667,1,0.092857143
126,6,1,0,56,0.079677675,2.222222222222222,1.4814814814814814,2.222222222222222,1,0.042857143
127,9,1,0,38.8,0.086091455,2.0134228187919465,0.6711409395973155,3.3557046979865772,1,0.064285714
128,1,1,0,38.8,0.063351225,0,1.7543859649122808,1.7543859649122808,1,0.007142857
129,37,1,0,43.6,0.601693375,1.502145922746781,0.6437768240343348,1.9313304721030042,1,0.264285714
130,3,1,0,42,0.038256672,1.8867924528301885,0,3.773584905660377,1,0.021428571
131,6,1,0,45.5,0.08661888,2.5,0.8333333333333334,0.8333333333333334,1,0.042857143
132,2,1,0,46.5,0.085175232,2.5423728813559325,0.8474576271186441,0.8474576271186441,1,0.014285714
133,33,1,0,46.1,0.880292181,1.1477761836441893,0.28694404591104733,0.860832138,1,0.235714286
134,10,1,0,45.3,0.15465396750000002,1.0526315789473684,0.3508771929824561,2.1052631578947367,1,0.071428571
135,28,1,0,47,0.45093841050000005,0.9626955475330926,0.24067388688327315,1.2033694344163657,1,0.2
136,9,1,0,47,0.174435471,1.3227513227513228,0.2645502645502646,1.3227513227513228,1,0.064285714
137,4,1,0,50,0.07441912,2.5,0.625,2.5,1,0.028571429
138,3,1,0,45.3,0.0600644,0.625,0.625,1.25,1,0.021428571
139,7,1,0,43.9,0.16333501799999997,0.9852216748768474,0.24630541871921185,1.2315270935960592,1,0.05
140,10,1,0,48,0.141321649,0.5763688760806917,0.2881844380403458,0.5763688760806917,1,0.071428571
141,10,1,0,52,0.081209142,0.8230452674897119,0.4115226337448559,1.6460905349794237,1,0.071428571
142,1,1,0,52,0.02064294,5,0,1.6666666666666667,1,0.007142857
143,1,1,0,52,0.017890548,1.923076923076923,0,0,1,0.007142857
144,6,1,0,54,0.064681212,0.5319148936170213,0.5319148936170213,2.127659574468085,1,0.042857143
145,9,1,0,46.8,0.11697666,0.8823529411764706,0.29411764705882354,1.4705882352941178,1,0.064285714
146,2,1,0,47,0.01720245,4,0,0,1,0.014285714
147,4,1,0,44.3,0.1032147,1.3333333333333333,0.3333333333333333,2.3333333333333335,1,0.028571429
148,2,1,1,53.5,0.021827876,1.7857142857142856,0,1.7857142857142856,1,0.014285714
149,16,1,1,55.6,0.23036204850000003,0.676818951,0.338409475,1.015228426395939,1,0.114285714
150,3,1,1,51.8,0.083372716,1.530612244897959,1.0204081632653061,0,1,0.021428571
151,4,1,1,51.5,0.06290702,0.45454545454545453,0.45454545454545453,0.9090909090909091,1,0.028571429
152,4,1,1,52.4,0.076216672,0.4464285714285714,0.4464285714285714,1.1160714285714284,1,0.028571429
153,14,1,1,50,0.100575093,0.6600660066006601,0.33003300330033003,1.3201320132013201,1,0.1
154,6,1,0,47.9,0.17798553399999997,1.079913606911447,0.2159827213822894,1.2958963282937366,1,0.042857143
155,12,1,0,44.9,0.339056676,0.9070294784580498,0.22675736961451246,1.3605442176870748,1,0.085714286
156,58,1,1,47.5,0.6217809674999999,1.3605442176870748,0.6802721088435374,1.3605442176870748,0,0.414285714
